Description,Beat,Zip Code,Area,DVFlag,Firearm Used Flag
Murder,332,64128,EPD,FALSE,TRUE
Theft From Building,234,64114,MPD,FALSE,FALSE
Aggravated Assault,631,64116,SCP,FALSE,TRUE
,113,64105,CPD,FALSE,FALSE
Motor Vehicle Theft,211,64130,MPD,FALSE,FALSE
Aggravated Assault,222,64130,MPD,FALSE,FALSE
Simple Assault,534,64134,SPD,TRUE,FALSE
Robbery,533,,SPD,FALSE,TRUE
Aggravated Assault,541,64138,SPD,FALSE,TRUE
,641,64155,SCP,FALSE,FALSE
,532,64134,SPD,FALSE,FALSE
,345,64133,EPD,FALSE,FALSE
Motor Vehicle Theft,542,64134,SPD,FALSE,FALSE
Aggravated Assault,322,64127,EPD,FALSE,TRUE
Counterfeiting / Forgery,332,64128,EPD,FALSE,FALSE
Identity Theft,641,64119,SCP,FALSE,FALSE
Simple Assault,231,64114,MPD,TRUE,FALSE
Robbery,134,64111,CPD,FALSE,TRUE
Motor Vehicle Theft,636,64161,SCP,FALSE,FALSE
Identity Theft,123,64109,CPD,FALSE,FALSE
,544,,SPD,FALSE,FALSE
Murder,543,64134,SPD,FALSE,TRUE
,999,64086,OSPD,FALSE,FALSE
,221,64110,MPD,FALSE,FALSE
Shoplifting,113,64106,CPD,FALSE,FALSE
Trespass of Real Property,631,,SCP,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Prostitution,345,64133,EPD,FALSE,FALSE
Motor Vehicle Theft,323,64127,EPD,FALSE,FALSE
Theft From Motor Vehicle,423,64155,NPD,FALSE,FALSE
Embezzlement,234,64114,MPD,FALSE,FALSE
Simple Assault,143,64110,CPD,FALSE,FALSE
Murder,411,64116,NPD,FALSE,TRUE
Shoplifting,345,64133,EPD,FALSE,FALSE
,134,64110,CPD,FALSE,FALSE
Aggravated Assault,322,64127,EPD,FALSE,TRUE
Motor Vehicle Theft,641,64158,SCP,FALSE,FALSE
Prostitution,345,64133,EPD,FALSE,FALSE
Simple Assault,142,64130,CPD,FALSE,FALSE
Motor Vehicle Theft,221,64112,MPD,FALSE,FALSE
Motor Vehicle Theft,342,64129,EPD,FALSE,FALSE
Aggravated Assault,532,64137,SPD,FALSE,TRUE
Disorderly Conduct,242,64132,MPD,FALSE,FALSE
Forcible Sodomy,124,64127,CPD,FALSE,FALSE
Disorderly Conduct,133,64111,CPD,FALSE,FALSE
Murder,342,64128,EPD,FALSE,TRUE
All Other Larceny,344,64129,EPD,FALSE,FALSE
Simple Assault,113,64106,CPD,FALSE,FALSE
Motor Vehicle Theft,212,64129,MPD,FALSE,FALSE
Simple Assault,133,64111,CPD,FALSE,FALSE
Shoplifting,421,64153,NPD,FALSE,FALSE
,632,64117,SCP,FALSE,FALSE
,999,64086,OSPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
,112,64106,CPD,FALSE,FALSE
Counterfeiting / Forgery,113,64108,CPD,FALSE,FALSE
Trespass of Real Property,113,64106,CPD,FALSE,FALSE
,541,64138,SPD,FALSE,FALSE
Intimidation,634,64119,SCP,FALSE,FALSE
All Other Larceny,341,64127,EPD,FALSE,FALSE
Vandalism/Destruction of Property,342,64127,EPD,FALSE,FALSE
,324,64128,EPD,FALSE,FALSE
Simple Assault,133,64111,CPD,FALSE,FALSE
Theft From Building,134,64112,CPD,FALSE,FALSE
,332,64128,EPD,FALSE,FALSE
Motor Vehicle Theft,212,64129,MPD,FALSE,FALSE
Trespass of Real Property,541,64132,SPD,FALSE,FALSE
All Other Larceny,212,64129,MPD,FALSE,FALSE
Robbery,535,64145,SPD,FALSE,FALSE
Shoplifting,234,64114,MPD,FALSE,FALSE
Trespass of Real Property,545,,SPD,FALSE,FALSE
Intimidation,121,64106,CPD,FALSE,FALSE
Shoplifting,134,64112,CPD,FALSE,FALSE
Murder,342,64128,EPD,FALSE,TRUE
Shoplifting,345,64133,EPD,FALSE,FALSE
Counterfeiting / Forgery,542,64138,SPD,FALSE,FALSE
Theft From Motor Vehicle,234,64131,MPD,FALSE,FALSE
,631,64116,SCP,FALSE,FALSE
Robbery,134,64111,CPD,FALSE,TRUE
Disorderly Conduct,112,64106,CPD,FALSE,FALSE
,533,,SPD,FALSE,FALSE
,112,64106,CPD,FALSE,FALSE
,411,64118,NPD,FALSE,FALSE
Intimidation,141,64109,CPD,FALSE,FALSE
Trespass of Real Property,345,64133,EPD,FALSE,FALSE
,643,64157,SCP,FALSE,FALSE
All Other Larceny,112,64105,CPD,FALSE,FALSE
Counterfeiting / Forgery,641,64119,SCP,FALSE,FALSE
"Family Offenses, Nonviolent",642,64155,SCP,FALSE,FALSE
Shoplifting,421,64153,NPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Trespass of Real Property,113,64105,CPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Simple Assault,532,64137,SPD,FALSE,FALSE
,332,64128,EPD,FALSE,FALSE
,313,64124,EPD,FALSE,FALSE
Motor Vehicle Theft,125,64109,CPD,FALSE,FALSE
,112,64106,CPD,FALSE,FALSE
Forcible Rape,111,64105,CPD,FALSE,FALSE
,334,64130,EPD,FALSE,FALSE
Shoplifting,131,64109,CPD,FALSE,FALSE
Robbery,533,,SPD,FALSE,TRUE
Counterfeiting / Forgery,331,64127,EPD,FALSE,FALSE
Disorderly Conduct,113,64108,CPD,FALSE,FALSE
,345,,EPD,FALSE,FALSE
,112,64106,CPD,FALSE,FALSE
Motor Vehicle Theft,211,64130,MPD,FALSE,FALSE
Disorderly Conduct,331,64128,EPD,FALSE,FALSE
Motor Vehicle Theft,312,,EPD,FALSE,FALSE
,232,64131,MPD,FALSE,FALSE
,535,64145,SPD,FALSE,FALSE
Arson,341,64126,EPD,FALSE,FALSE
Drug / Narcotic Violations,115,64108,CPD,FALSE,FALSE
,535,64158,SPD,FALSE,FALSE
Burglary/Breaking and Entering,134,64111,CPD,FALSE,FALSE
Robbery,344,,EPD,FALSE,FALSE
Vandalism/Destruction of Property,544,64134,SPD,FALSE,FALSE
Forcible Fondling,113,64105,CPD,FALSE,FALSE
Simple Assault,112,64108,CPD,FALSE,FALSE
Disorderly Conduct,224,64113,CPD,FALSE,FALSE
Simple Assault,142,,CPD,FALSE,FALSE
All Other Offenses,234,64114,MPD,FALSE,FALSE
All Other Larceny,411,64118,NPD,FALSE,FALSE
Motor Vehicle Theft,242,64132,MPD,FALSE,FALSE
,634,64117,SCP,FALSE,FALSE
,533,64131,SPD,FALSE,FALSE
Vandalism/Destruction of Property,113,64105,CPD,FALSE,FALSE
,322,64127,EPD,FALSE,FALSE
Motor Vehicle Theft,121,64124,CPD,FALSE,FALSE
Statutory Rape,115,66160,OSPD,FALSE,FALSE
Drug / Narcotic Violations,223,64130,MPD,FALSE,FALSE
All Other Larceny,641,64158,SCP,FALSE,FALSE
Aggravated Assault,112,64106,CPD,FALSE,FALSE
Simple Assault,212,64129,MPD,FALSE,FALSE
,535,64147,SPD,FALSE,FALSE
,411,64116,NPD,FALSE,FALSE
Vandalism/Destruction of Property,134,64112,CPD,FALSE,FALSE
Burglary/Breaking and Entering,343,64130,EPD,FALSE,FALSE
Aggravated Assault,132,,CPD,FALSE,FALSE
Motor Vehicle Theft,422,64154,NPD,FALSE,FALSE
Aggravated Assault,332,64128,EPD,FALSE,TRUE
All Other Larceny,421,64154,NPD,FALSE,FALSE
Burglary/Breaking and Entering,345,64133,EPD,FALSE,FALSE
Vandalism/Destruction of Property,242,64132,MPD,FALSE,FALSE
Motor Vehicle Theft,633,64118,SCP,FALSE,FALSE
Motor Vehicle Theft,123,64127,CPD,FALSE,FALSE
Robbery,312,64127,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
,423,64155,NPD,FALSE,FALSE
,535,64147,SPD,FALSE,FALSE
Motor Vehicle Theft,224,64113,MPD,FALSE,FALSE
Simple Assault,224,64110,MPD,FALSE,FALSE
,223,64130,MPD,FALSE,FALSE
Aggravated Assault,423,,NPD,FALSE,FALSE
,131,64108,CPD,FALSE,FALSE
Forcible Rape,314,64124,EPD,FALSE,FALSE
Simple Assault,231,64114,MPD,FALSE,FALSE
,999,66104,OSPD,FALSE,FALSE
,345,64133,EPD,FALSE,FALSE
Simple Assault,332,64127,EPD,FALSE,FALSE
,311,64124,EPD,FALSE,FALSE
Driving Under the Influence,342,64126,EPD,FALSE,FALSE
Stolen Property Offenses,636,64161,SCP,FALSE,FALSE
All Other Offenses,321,64127,EPD,FALSE,FALSE
Motor Vehicle Theft,314,64124,EPD,FALSE,FALSE
Theft From Building,642,64155,SCP,FALSE,FALSE
Vandalism/Destruction of Property,211,64130,MPD,FALSE,FALSE
Intimidation,323,64127,EPD,FALSE,FALSE
Simple Assault,114,64108,CPD,TRUE,FALSE
Vandalism/Destruction of Property,141,64109,CPD,FALSE,FALSE
Shoplifting,313,64124,EPD,FALSE,FALSE
Aggravated Assault,133,64111,CPD,FALSE,FALSE
Aggravated Assault,212,,MPD,FALSE,TRUE
Vandalism/Destruction of Property,644,64156,SCP,FALSE,FALSE
,212,64129,MPD,FALSE,FALSE
,999,,OSPD,FALSE,FALSE
All Other Larceny,999,64058,OSPD,FALSE,FALSE
Theft From Motor Vehicle,134,64111,CPD,FALSE,FALSE
All Other Larceny,542,64134,SPD,FALSE,FALSE
Motor Vehicle Theft,642,64155,SCP,FALSE,FALSE
Theft From Building,232,64131,MPD,FALSE,FALSE
,315,64123,EPD,FALSE,FALSE
Motor Vehicle Theft,113,64108,CPD,FALSE,FALSE
Vandalism/Destruction of Property,535,64145,SPD,FALSE,FALSE
All Other Offenses,331,,EPD,FALSE,FALSE
,132,64111,CPD,FALSE,FALSE
Shoplifting,542,64132,SPD,FALSE,FALSE
Motor Vehicle Theft,213,64133,MPD,FALSE,FALSE
Shoplifting,643,,SCP,FALSE,FALSE
,999,64068,OSPD,FALSE,FALSE
Shoplifting,234,64114,MPD,FALSE,FALSE
Robbery,324,64127,EPD,FALSE,TRUE
Robbery,314,64124,EPD,FALSE,FALSE
Vandalism/Destruction of Property,345,64055,EPD,FALSE,FALSE
All Other Offenses,999,64111,CPD,FALSE,FALSE
Shoplifting,241,64132,MPD,FALSE,FALSE
Identity Theft,333,64130,EPD,FALSE,FALSE
All Other Offenses,323,,EPD,FALSE,FALSE
,314,64124,EPD,FALSE,FALSE
Counterfeiting / Forgery,533,64114,SPD,FALSE,FALSE
Forcible Rape,213,64129,MPD,FALSE,FALSE
Motor Vehicle Theft,531,64131,SPD,FALSE,FALSE
Arson,531,64137,SPD,FALSE,FALSE
Simple Assault,233,64131,MPD,FALSE,FALSE
,642,,SCP,FALSE,FALSE
Forcible Rape,342,64127,EPD,FALSE,FALSE
Prostitution,533,64114,SPD,FALSE,FALSE
Aggravated Assault,342,64129,EPD,FALSE,TRUE
Simple Assault,314,64106,EPD,TRUE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Simple Assault,534,64137,SPD,TRUE,FALSE
Vandalism/Destruction of Property,142,64130,CPD,FALSE,FALSE
,411,64118,NPD,FALSE,FALSE
,211,,MPD,FALSE,FALSE
Trespass of Real Property,345,64133,EPD,FALSE,FALSE
Simple Assault,634,64117,SCP,TRUE,FALSE
Vandalism/Destruction of Property,233,64132,MPD,FALSE,FALSE
,314,64124,EPD,FALSE,FALSE
Simple Assault,542,64134,SPD,TRUE,FALSE
Forcible Rape,323,64127,EPD,FALSE,FALSE
,141,64110,CPD,FALSE,FALSE
Theft From Building,341,64126,EPD,FALSE,FALSE
Driving Under the Influence,412,64118,NPD,FALSE,FALSE
Robbery,213,64129,MPD,FALSE,TRUE
All Other Offenses,224,,MPD,FALSE,FALSE
Embezzlement,634,64119,SCP,FALSE,FALSE
Simple Assault,213,64129,MPD,FALSE,FALSE
All Other Offenses,999,64111,CPD,FALSE,FALSE
Shoplifting,231,64114,MPD,FALSE,FALSE
Aggravated Assault,213,64133,MPD,FALSE,FALSE
Aggravated Assault,643,64127,EPD,FALSE,TRUE
Theft From Motor Vehicle,243,,MPD,FALSE,FALSE
Vandalism/Destruction of Property,134,64112,CPD,FALSE,FALSE
Aggravated Assault,213,64129,MPD,FALSE,TRUE
